CustomerID,total_spent,total_orders,total_items,average_order_value,last_purchase,country,days_since_purchase,recovery_event,failure_reason,recovery_attempts,risk_score,risk_level,recovery_probability,revenue_at_risk,expected_recovery,recommended_action
12346,77183.6,1,74215,77183.6,2011-01-18 10:01:00,United Kingdom,325,checkout_abandoned,checkout_abandoned,1,65,MEDIUM,56.0,77183.6,43222.816000000006,Send checkout reminder
12347,4310.0,7,2458,23.681318681318682,2011-12-07 15:52:00,Iceland,1,successful,none,0,0,LOW,95.0,4310.0,4094.5,No action required
12348,1797.24,4,2341,57.97548387096774,2011-09-25 13:13:00,Finland,74,payment_failed,card_expired,1,40,MEDIUM,71.0,1797.24,1276.0403999999999,Send payment recovery link
12349,1757.55,1,631,24.076027397260273,2011-11-21 09:51:00,Italy,18,successful,none,0,0,LOW,95.0,1757.55,1669.6725,No action required
12350,334.4,1,197,19.670588235294115,2011-02-02 16:01:00,Norway,309,checkout_abandoned,checkout_abandoned,1,55,MEDIUM,62.0,334.4,207.328,Send checkout reminder
12352,2506.04,8,536,29.482823529411764,2011-11-03 14:37:00,Norway,35,successful,none,0,0,LOW,95.0,2506.04,2380.738,No action required
12353,89.0,1,20,22.25,2011-05-19 17:47:00,Bahrain,203,checkout_abandoned,checkout_abandoned,1,55,MEDIUM,62.0,89.0,55.18,Send checkout reminder
12354,1079.4,1,530,18.610344827586207,2011-04-21 13:11:00,Spain,231,checkout_abandoned,checkout_abandoned,1,55,MEDIUM,62.0,1079.4,669.2280000000001,Send checkout reminder
12355,459.4,1,240,35.33846153846154,2011-05-09 13:49:00,Bahrain,213,checkout_abandoned,checkout_abandoned,1,55,MEDIUM,62.0,459.4,284.828,Send checkout reminder
12356,2811.43,3,1591,47.65135593220339,2011-11-17 08:40:00,Portugal,22,successful,none,0,0,LOW,95.0,2811.43,2670.8585,No action required
12357,6207.67,1,2708,47.38679389312977,2011-11-06 16:07:00,Switzerland,32,successful,none,0,10,LOW,89.0,6207.67,5524.8263,No action required
12358,1168.06,2,248,61.47684210526315,2011-12-08 10:26:00,Austria,1,successful,none,0,0,LOW,95.0,1168.06,1109.657,No action required
12359,6372.58,4,1622,25.695887096774193,2011-10-13 12:47:00,Cyprus,57,payment_failed,card_expired,1,50,MEDIUM,65.0,6372.58,4142.177,Send payment recovery link
12360,2662.06,3,1165,20.63612403100775,2011-10-18 15:22:00,Austria,51,payment_failed,card_expired,1,40,MEDIUM,71.0,2662.06,1890.0626000000002,Send payment recovery link
12361,189.9,1,91,18.990000000000002,2011-02-25 13:51:00,Belgium,286,checkout_abandoned,checkout_abandoned,1,55,MEDIUM,62.0,189.9,117.73800000000001,Send checkout reminder
12362,5226.23,10,2229,19.647481203007516,2011-12-06 15:40:00,Belgium,2,successful,none,0,10,LOW,89.0,5226.23,4651.3447,No action required
12363,552.0,2,408,24.0,2011-08-22 10:18:00,Unspecified,109,subscription_failed,insufficient_funds,1,60,MEDIUM,59.0,552.0,325.68,Retry payment + reminder
12364,1313.1,4,1506,15.448235294117646,2011-12-02 10:22:00,Belgium,7,successful,none,0,0,LOW,95.0,1313.1,1247.445,No action required
12365,641.38,2,174,29.153636363636362,2011-02-21 14:04:00,Cyprus,290,checkout_abandoned,checkout_abandoned,1,55,MEDIUM,62.0,641.38,397.6556,Send checkout reminder
12367,168.9,1,173,15.354545454545455,2011-12-05 16:48:00,Denmark,3,successful,none,0,0,LOW,95.0,168.9,160.455,No action required
12370,3545.69,4,2353,21.231676646706585,2011-10-19 14:51:00,Cyprus,50,payment_failed,card_expired,1,40,MEDIUM,71.0,3545.69,2517.4399,Send payment recovery link
12371,1887.96,2,591,29.96761904761905,2011-10-26 10:16:00,Switzerland,44,successful,none,0,0,LOW,95.0,1887.96,1793.5620000000001,No action required
12372,1298.04,3,794,24.962307692307693,2011-09-29 12:12:00,Denmark,71,payment_failed,card_expired,1,40,MEDIUM,71.0,1298.04,921.6084,Send payment recovery link
12373,364.6,1,197,26.042857142857144,2011-02-01 13:10:00,Austria,310,checkout_abandoned,checkout_abandoned,1,55,MEDIUM,62.0,364.6,226.05200000000002,Send checkout reminder
12374,742.9300000000001,1,342,22.513030303030305,2011-11-14 15:37:00,Austria,24,successful,none,0,0,LOW,95.0,742.9300000000001,705.7835,No action required
12375,457.5,2,178,26.91176470588235,2011-11-29 10:36:00,Finland,10,successful,none,0,0,LOW,95.0,457.5,434.625,No action required
12377,1628.12,2,944,21.144415584415583,2011-01-28 15:45:00,Switzerland,314,checkout_abandoned,checkout_abandoned,1,55,MEDIUM,62.0,1628.12,1009.4343999999999,Send checkout reminder
12378,4008.62,1,2529,18.30420091324201,2011-08-02 10:34:00,Switzerland,129,subscription_failed,insufficient_funds,1,60,MEDIUM,59.0,4008.62,2365.0858,Retry payment + reminder
12379,852.24,2,407,21.306,2011-09-19 10:09:00,Belgium,81,payment_failed,card_expired,1,40,MEDIUM,71.0,852.24,605.0904,Send payment recovery link
12380,2724.81,4,1127,26.200096153846154,2011-11-18 11:27:00,Belgium,21,successful,none,0,0,LOW,95.0,2724.81,2588.5694999999996,No action required
12381,1845.31,5,808,21.21045977011494,2011-12-05 12:44:00,Norway,4,successful,none,0,0,LOW,95.0,1845.31,1753.0444999999997,No action required
12383,1850.56,5,1532,18.69252525252525,2011-06-08 08:02:00,Belgium,184,checkout_abandoned,checkout_abandoned,1,55,MEDIUM,62.0,1850.56,1147.3472,Send checkout reminder
12384,585.27,2,126,21.676666666666666,2011-11-11 08:39:00,Switzerland,28,successful,none,0,0,LOW,95.0,585.27,556.0065,No action required
12386,401.9,2,354,40.19,2011-01-06 12:37:00,Australia,337,checkout_abandoned,checkout_abandoned,1,55,MEDIUM,62.0,401.9,249.178,Send checkout reminder
12388,2780.66,6,1462,27.8066,2011-11-24 12:30:00,Australia,15,successful,none,0,0,LOW,95.0,2780.66,2641.627,No action required
12390,549.84,1,353,17.1825,2011-09-21 09:33:00,Belgium,79,payment_failed,card_expired,1,40,MEDIUM,71.0,549.84,390.3864,Send payment recovery link
12391,460.89,1,300,4.6089,2011-11-18 12:07:00,Cyprus,21,successful,none,0,0,LOW,95.0,460.89,437.84549999999996,No action required
12393,1582.6000000000001,4,816,24.728125000000002,2011-09-28 15:41:00,Australia,71,payment_failed,card_expired,1,40,MEDIUM,71.0,1582.6000000000001,1123.646,Send payment recovery link
12394,1272.48,2,819,47.12888888888889,2011-10-07 08:08:00,Belgium,63,payment_failed,card_expired,1,40,MEDIUM,71.0,1272.48,903.4608000000001,Send payment recovery link
12395,3018.63,12,2118,19.350192307692307,2011-11-20 15:21:00,Belgium,18,successful,none,0,0,LOW,95.0,3018.63,2867.6985000000004,No action required
12397,2409.9,2,1263,19.126190476190477,2011-11-04 09:52:00,Belgium,35,successful,none,0,0,LOW,95.0,2409.9,2289.405,No action required
12398,1635.6599999999999,1,1394,19.24305882352941,2011-10-25 10:27:00,Switzerland,45,successful,none,0,0,LOW,95.0,1635.6599999999999,1553.8769999999997,No action required
12399,1108.65,4,1178,18.790677966101697,2011-08-12 13:15:00,Belgium,118,subscription_failed,insufficient_funds,1,60,MEDIUM,59.0,1108.65,654.1035,Retry payment + reminder
12401,84.3,1,11,16.86,2011-02-09 13:50:00,Belgium,302,checkout_abandoned,checkout_abandoned,1,55,MEDIUM,62.0,84.3,52.26599999999999,Send checkout reminder
12402,225.6,1,94,20.509090909090908,2011-01-20 13:49:00,Belgium,322,checkout_abandoned,checkout_abandoned,1,55,MEDIUM,62.0,225.6,139.87199999999999,Send checkout reminder
12403,427.7,1,96,85.53999999999999,2011-10-21 10:51:00,Denmark,49,payment_failed,card_expired,1,40,MEDIUM,71.0,427.7,303.66700000000003,Send payment recovery link
12405,1710.39,1,857,31.67388888888889,2011-07-14 08:52:00,Finland,148,subscription_failed,insufficient_funds,1,60,MEDIUM,59.0,1710.39,1009.1301000000001,Retry payment + reminder
12406,3415.3,2,1818,32.52666666666667,2011-11-17 19:22:00,Denmark,21,successful,none,0,0,LOW,95.0,3415.3,3244.535,No action required
12407,1708.1200000000001,5,1416,22.183376623376624,2011-10-21 10:11:00,Belgium,49,payment_failed,card_expired,1,40,MEDIUM,71.0,1708.1200000000001,1212.7652,Send payment recovery link
12408,2888.55,5,1409,27.51,2011-11-07 12:27:00,Belgium,32,successful,none,0,0,LOW,95.0,2888.55,2744.1225,No action required
12409,11072.67,3,5551,101.58412844036697,2011-09-22 10:38:00,Switzerland,78,payment_failed,card_expired,1,50,MEDIUM,65.0,11072.67,7197.235500000001,Send payment recovery link
12410,693.3299999999999,2,211,26.666538461538458,2011-02-04 10:39:00,Switzerland,308,checkout_abandoned,checkout_abandoned,1,55,MEDIUM,62.0,693.3299999999999,429.86459999999994,Send checkout reminder
12412,1226.88,3,829,20.112786885245903,2011-09-26 10:16:00,Denmark,74,payment_failed,card_expired,1,40,MEDIUM,71.0,1226.88,871.0848000000001,Send payment recovery link
12413,758.1,3,286,19.95,2011-10-04 09:00:00,France,66,payment_failed,card_expired,1,40,MEDIUM,71.0,758.1,538.251,Send payment recovery link
12414,562.41,3,300,31.244999999999997,2011-05-06 14:51:00,Austria,216,checkout_abandoned,checkout_abandoned,1,55,MEDIUM,62.0,562.41,348.69419999999997,Send checkout reminder
12415,124914.53,21,77374,174.95032212885152,2011-11-15 14:22:00,Australia,23,successful,none,0,10,LOW,89.0,124914.53,111173.9317,No action required
12417,3649.1,9,1552,19.005729166666665,2011-12-06 14:52:00,Belgium,2,successful,none,0,0,LOW,95.0,3649.1,3466.645,No action required
12418,668.58,1,407,19.664117647058823,2011-08-19 11:08:00,Switzerland,112,subscription_failed,insufficient_funds,1,60,MEDIUM,59.0,668.58,394.4622,Retry payment + reminder
